Runde;Block;Gebot;Bietender
6;05A 3,6 GHz;1870000;Telefónica Deutschland
6;06A 3,6 GHz;1870000;Telefónica Deutschland
6;07A 3,6 GHz;1870000;Telefónica Deutschland
6;08A 3,6 GHz;1870000;Telefónica Deutschland
6;09A 3,6 GHz;1870000;Telefónica Deutschland
6;10A 3,6 GHz;1870000;1&1 Drillisch
6;11A 3,6 GHz;1870000;Telekom
6;12A 3,6 GHz;1870000;Telekom
6;13A 3,6 GHz;1870000;Telekom
6;14A 3,6 GHz;1870000;Telekom
6;15A 3,6 GHz;1870000;Telekom
6;16A 3,6 GHz;1870000;Telekom
6;17A 3,6 GHz;1870000;Telekom
6;18A 3,6 GHz;1870000;Vodafone
6;19A 3,6 GHz;1870000;Vodafone
6;20A 3,6 GHz;2057000;Vodafone
6;21A 3,6 GHz;2057000;Vodafone
6;22A 3,6 GHz;2057000;Vodafone
6;23A 3,6 GHz;2057000;Vodafone
6;24A 3,6 GHz;23870000;Vodafone
6;25A 3,6 GHz;23870000;Vodafone
6;26A 3,6 GHz;21700000;1&1 Drillisch
6;27A 3,6 GHz;21700000;1&1 Drillisch
6;28A 3,6 GHz;21700000;1&1 Drillisch
6;29K 3,6 GHz;23870000;Telekom
7;01A 2 GHz;6050000;Telekom
7;02A 2 GHz;6050000;Telekom
7;03A 2 GHz;6655000;1&1 Drillisch
7;04A 2 GHz;6655000;Telefónica Deutschland
7;05A 2 GHz;6655000;Telekom
7;06A 2 GHz;6050000;Vodafone
7;07A 2 GHz;27500000;Vodafone
7;08A 2 GHz;25000000;1&1 Drillisch
7;09A 2 GHz (2026);4537000;Telefónica Deutschland
7;10A 2 GHz (2026);4990000;1&1 Drillisch
7;11A 2 GHz (2026);23750000;1&1 Drillisch
7;12A 2 GHz (2026);26125000;Vodafone
7;01K 3,6 GHz;Kein Gebot;Kein Gebot
7;02A 3,6 GHz;1870000;1&1 Drillisch
7;03A 3,6 GHz;2057000;Telekom
7;04A 3,6 GHz;1870000;Telefónica Deutschland
7;05A 3,6 GHz;1870000;Telefónica Deutschland
7;06A 3,6 GHz;1870000;Telefónica Deutschland
7;07A 3,6 GHz;1870000;Telefónica Deutschland
7;08A 3,6 GHz;1870000;Telefónica Deutschland
7;09A 3,6 GHz;1870000;Telefónica Deutschland
7;10A 3,6 GHz;2057000;Vodafone
7;11A 3,6 GHz;2057000;Telefónica Deutschland
7;12A 3,6 GHz;1870000;Telekom
7;13A 3,6 GHz;1870000;Telekom
7;14A 3,6 GHz;1870000;Telekom
7;15A 3,6 GHz;1870000;Telekom
7;16A 3,6 GHz;1870000;Telekom
7;17A 3,6 GHz;1870000;Telekom
7;18A 3,6 GHz;1870000;Vodafone
7;19A 3,6 GHz;1870000;Vodafone
7;20A 3,6 GHz;2057000;Vodafone
7;21A 3,6 GHz;2057000;Vodafone
7;22A 3,6 GHz;2057000;Vodafone
7;23A 3,6 GHz;2057000;Vodafone
7;24A 3,6 GHz;23870000;Vodafone
7;25A 3,6 GHz;23870000;Vodafone
7;26A 3,6 GHz;21700000;1&1 Drillisch
7;27A 3,6 GHz;21700000;1&1 Drillisch
7;28A 3,6 GHz;21700000;1&1 Drillisch
7;29K 3,6 GHz;23870000;Telekom
8;01A 2 GHz;6655000;Vodafone
8;02A 2 GHz;6050000;Telekom
8;03A 2 GHz;6655000;1&1 Drillisch
8;04A 2 GHz;7320000;Telekom
8;05A 2 GHz;6655000;Telekom
8;06A 2 GHz;6655000;Telefónica Deutschland
8;07A 2 GHz;27500000;Vodafone
8;08A 2 GHz;25000000;1&1 Drillisch
8;09A 2 GHz (2026);4537000;Telefónica Deutschland
8;10A 2 GHz (2026);5489000;Telefónica Deutschland
8;11A 2 GHz (2026);23750000;1&1 Drillisch
8;12A 2 GHz (2026);26125000;Vodafone
8;01K 3,6 GHz;Kein Gebot;Kein Gebot
